Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 26, 2021","3,809.25","Feb 26, 2021","3,823.25","3,858.50","3,785.00","3,809.25",3.01M,-0.49%,0.5%,$73.50,1.92%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 25, 2021","3,809.25","Feb 25, 2021","3,923.50","3,934.50","3,810.25","3,809.25",2.86M,-2.41%,2.4%,$124.25,3.17%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 24, 2021","3,809.25","Feb 24, 2021","3,876.25","3,927.75","3,851.75","3,809.25",1.94M,1.15%,1.2%,$76.00,1.96%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 23, 2021","3,809.25","Feb 23, 2021","3,878.00","3,896.00","3,804.75","3,809.25",2.28M,0.12%,0.1%,$91.25,2.35%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 22, 2021","3,809.25","Feb 22, 2021","3,905.50","3,914.50","3,861.25","3,809.25",1.51M,-0.76%,0.8%,$53.25,1.36%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 19, 2021","3,809.25","Feb 19, 2021","3,910.50","3,931.00","3,890.25","3,809.25",1.43M,-0.17%,0.2%,$40.75,1.04%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 18, 2021","3,809.25","Feb 18, 2021","3,928.25","3,936.00","3,880.50","3,809.25",1.54M,-0.47%,0.5%,$55.50,1.41%,,,,,,,,,Results,,,,,,,,,,,,,,,
"Feb 17, 2021","3,809.25","Feb 17, 2021","3,929.00","3,932.25","3,896.50","3,809.25",1.38M,0.01%,0.0%,$35.75,0.91%,,,Highest price ever,"$3,959.25",,,,,,,,,,,,,,,,,,,,
"Feb 16, 2021","3,809.25","Feb 16, 2021","3,936.50","3,959.25","3,918.75","3,809.25",1.45M,-0.50%,0.5%,$40.50,1.03%,,,Lowest price ever,"$2,174.00",,,,,Highest v/s Lowest price ever,,,,Price movement in %,,,,Price range prevision,,,,Others,,,
"Feb 15, 2021","3,809.25","Feb 15, 2021","3,936.38","3,951.88","3,935.88","3,809.25",-,0.28%,0.3%,$16.00,0.41%,,,Standard Deviation,381.1161365,,,,,Highest price  ever,,Lowest price ever,,Highest movement,,Lowest movement,,Highest,,Lowest,,Standard Deviation,,Daily volatality,
